dt,temp,humidity,speed,deg,description
1615172400,277,87,1,91,clear sky
1615176000,276,81,1,35,clear sky
1615179600,275,87,1,14,clear sky
1615183200,274,93,1,17,clear sky
1615186800,274,93,1,67,clear sky
1615190400,273,93,1,108,clear sky
1615194000,273,100,1,105,clear sky
1615197600,273,93,1,105,clear sky
1615201200,273,93,1,87,clear sky
1615204800,272,93,0,46,clear sky
1615208400,275,93,1,2,clear sky
1615212000,281,57,2,18,clear sky
1615215600,285,37,2,45,clear sky
1615219200,288,20,2,72,clear sky
1615222800,289,17,2,190,clear sky
1615226400,291,15,3,90,clear sky
1615230000,292,10,1,75,clear sky
1615233600,293,10,1,90,clear sky
1615237200,293,10,1,89,clear sky
1615240800,293,10,1,93,clear sky
1615244400,291,12,1,126,clear sky
1615248000,286,54,1,134,clear sky
1615251600,283,66,2,134,clear sky
1615255200,281,75,2,148,clear sky
1615258800,280,81,2,158,clear sky
1615262400,277,81,2,169,clear sky
1615266000,278,87,2,169,clear sky
1615269600,277,93,2,169,clear sky
1615273200,275,93,2,183,clear sky
1615276800,274,93,2,196,clear sky
1615280400,273,100,2,197,clear sky
1615284000,273,100,2,197,clear sky
1615287600,273,100,1,201,clear sky
1615291200,273,100,1,221,clear sky
1615294800,275,93,1,198,clear sky
1615298400,283,61,1,199,clear sky
1615302000,288,33,2,210,clear sky
1615305600,291,25,2,270,clear sky
1615309200,293,17,3,170,clear sky
1615312800,294,16,2,120,clear sky
1615316400,295,13,2,179,clear sky
1615320000,296,11,2,210,clear sky
1615323600,296,9,3,210,clear sky
1615327200,294,10,2,200,clear sky
1615330800,292,19,1,140,clear sky
1615334400,288,58,2,139,clear sky
1615338000,286,81,2,151,clear sky
1615341600,285,66,1,128,clear sky
1615345200,283,87,2,128,clear sky
1615348800,282,81,2,142,clear sky
1615352400,280,81,2,153,clear sky
1615356000,280,75,2,159,clear sky
1615359600,278,87,2,171,clear sky
1615363200,278,87,2,173,clear sky
1615366800,277,93,2,167,clear sky
1615370400,276,93,3,160,clear sky
1615374000,276,93,2,162,clear sky
1615377600,276,93,2,152,clear sky
1615381200,281,93,2,177,clear sky
1615384800,286,71,2,186,clear sky
1615388400,290,48,3,190,clear sky
1615392000,293,35,3,190,clear sky
1615395600,295,18,4,190,clear sky
1615399200,296,23,3,210,clear sky
1615402800,297,21,3,170,clear sky
1615406400,298,18,3,200,clear sky
1615410000,298,16,3,158,clear sky
1615413600,297,16,3,148,clear sky
1615417200,295,23,2,160,clear sky
1615420800,292,32,2,150,clear sky
1615424400,288,67,2,310,clear sky
1615428000,287,76,4,134,clear sky
1615431600,289,51,3,150,clear sky
1615435200,288,55,3,160,clear sky
1615438800,286,66,2,170,clear sky
1615442400,284,71,3,150,clear sky
1615446000,283,93,3,172,clear sky
1615449600,281,93,3,162,clear sky
1615453200,280,93,2,160,clear sky
1615456800,279,93,2,155,clear sky
1615460400,279,93,1,151,clear sky
1615464000,278,93,2,142,mist
1615467600,283,87,2,145,clear sky
1615471200,288,72,2,147,clear sky
1615474800,292,59,2,150,clear sky
1615478400,295,43,4,210,clear sky
1615482000,296,35,3,260,clear sky
1615485600,297,31,3,130,clear sky
1615489200,298,29,3,210,clear sky
1615492800,298,27,2,230,clear sky
1615496400,299,25,2,168,clear sky
1615500000,298,27,2,190,clear sky
1615503600,297,27,3,170,clear sky
1615507200,293,42,2,162,clear sky
1615510800,289,82,1,204,clear sky
1615514400,287,87,1,160,clear sky
